freq,unit,indic,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,INV_GOV,PT	2.47 	2.17 	1.99 	2.25 	1.54 	1.78 	1.85 	1.82 	2.31 	2.58 	2.38 	2.54 
A,PC,INV_GOV,RO	4.83 	4.45 	4.25 	5.18 	3.65 	2.56 	2.66 	3.47 	4.63 	: 	: 	: 
A,PC,INV_GOV,SE	4.60 	4.62 	4.69 	4.51 	4.60 	4.85 	5.07 	5.07 	5.36 	4.95 	5.07 	5.25 
A,PC,INV_GOV,SI	4.04 	4.32 	5.07 	4.76 	3.15 	3.05 	3.66 	3.83 	4.11 	4.67 	5.40 	: 
A,PC,INV_GOV,SK	3.24 	3.37 	4.11 	6.36 	3.39 	3.36 	3.75 	3.59 	3.43 	3.06 	3.07 	4.69 
A,PC,INV_GOV,UK	2.70 	2.56 	2.73 	2.66 	2.62 	2.67 	2.67 	2.80 	: 	: 	: 	: 
A,PC,INV_HH,AT	5.27 	5.27 	5.08 	5.03 	4.99 	5.24 	5.27 	5.41 	5.67 	6.19 	6.20 	: 
A,PC,INV_HH,BE	5.70 	5.47 	5.65 	5.46 	5.45 	5.44 	5.47 	5.72 	5.67 	5.72 	5.52 p	: 
A,PC,INV_HH,BG	1.60 	1.57 	1.51 	0.76 	3.20 	2.31 	: 	: 	: 	: 	: 	: 
A,PC,INV_HH,CH	4.28 	4.32 	4.26 	4.27 	4.15 	4.10 	3.99 	3.79 	3.78 	3.60 p	3.52 p	: 
A,PC,INV_HH,CY	5.99 	4.95 	4.79 	4.46 	5.34 	6.01 	7.57 	8.69 	9.17 	9.50 	9.70 p	: 
A,PC,INV_HH,CZ	5.49 	5.32 	5.31 	5.24 	5.49 	4.91 	5.83 	6.05 	6.23 	6.36 	6.77 	6.50 
A,PC,INV_HH,DE	6.35 	6.26 	6.23 	5.98 	6.15 	6.02 	6.20 	6.25 p	6.60 p	6.72 p	7.03 p	6.93 p
A,PC,INV_HH,DK	4.06 	3.78 	3.76 	3.95 	3.93 	4.30 	4.42 	4.48 	4.50 	5.20 	5.45 	5.34 
A,PC,INV_HH,EA20	5.63 	5.33 	5.21 	5.05 	5.19 	5.27 	5.40 	5.46 	5.65 	6.15 	6.36 	6.10 
A,PC,INV_HH,EE	3.70 	4.19 	4.33 	4.55 	4.90 	5.11 	4.97 	5.26 	5.75 	5.25 	5.48 	: 
A,PC,INV_HH,EL	4.22 	3.22 	2.11 	1.82 	1.83 	1.77 	1.60 	1.75 	2.15 p	2.42 p	2.74 p	: 
A,PC,INV_HH,ES	4.13 	3.10 	2.99 	2.88 	2.88 	3.20 	3.33 	3.46 	3.64 	4.31 	4.39 	: 
A,PC,INV_HH,EU27_2020	5.43 	5.14 	5.05 	4.93 	5.06 	5.17 	5.26 	5.31 	5.45 	5.94 	6.13 	5.88 
A,PC,INV_HH,FI	7.09 	6.78 	6.41 	6.15 	6.71 	6.90 	7.15 	7.04 	6.97 	6.86 	7.17 	5.96 
A,PC,INV_HH,FR	6.01 	5.88 	5.74 	5.56 	5.64 	5.89 	5.94 	6.05 	5.97 	6.59 p	6.69 p	: 
A,PC,INV_HH,HR	3.53 	3.23 	3.04 	3.12 	3.14 	3.16 	3.38 	4.02 	4.37 	4.71 	4.47 p	: 
A,PC,INV_HH,HU	2.88 	2.92 	2.96 	3.17 	3.33 	3.74 	4.18 	4.34 	5.20 	4.87 	5.74 p	: 
A,PC,INV_HH,IE	2.11 	2.13 	2.04 	1.69 	1.92 	1.92 	2.19 	1.52 	1.32 	1.40 	1.81 	: 
A,PC,INV_HH,IS	2.52 	2.69 	2.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,INV_HH,IT	6.22 	5.76 	5.31 	5.15 	5.17 	5.19 	5.20 	5.08 	5.07 	6.89 	7.71 	7.44 
A,PC,INV_HH,LT	3.00 	3.54 	3.75 	4.19 	4.47 	4.05 	4.17 	4.42 	4.67 	4.61 	4.94 	: 
A,PC,INV_HH,LU	4.08 	4.47 	4.93 	4.63 	4.63 	4.73 	4.40 	4.02 	4.36 	4.55 	5.18 	: 
A,PC,INV_HH,LV	3.74 	2.78 	3.10 	3.61 	3.13 	3.09 	3.62 	3.71 	3.54 	3.04 	2.73 	: 
A,PC,INV_HH,NL	4.56 	4.09 	4.49 	4.95 	5.41 	5.85 	6.30 	6.63 	6.98 	6.85 	6.80 	6.58 p
A,PC,INV_HH,NO	5.29 	5.65 	5.56 	5.79 	6.41 	6.59 	5.94 	6.02 	6.26 	5.63 	4.53 	: 
A,PC,INV_HH,PL	5.28 	4.86 	5.04 	4.87 	4.75 	4.27 	3.56 	3.59 	3.30 	3.77 	3.54 	: 
A,PC,INV_HH,PT	3.74 	3.16 	3.20 	3.17 	3.32 	3.49 	3.78 	3.90 	4.14 	4.43 	4.21 p	3.83 p
A,PC,INV_HH,RO	5.88 	5.57 	5.46 	5.45 	5.70 	8.11 	7.00 	6.51 	8.57 p	: 	: 	: 
A,PC,INV_HH,RS	1.84 p	1.80 p	1.80 p	1.90 p	2.23 p	2.14 p	2.28 p	2.32 p	2.10 p	2.36 p	2.71 p	: 
A,PC,INV_HH,SE	2.54 	2.61 	2.66 	3.10 	3.36 	3.65 	3.41 	3.21 	3.52 	3.64 	3.49 	2.92 
A,PC,INV_HH,SI	3.65 	3.48 	3.50 	3.55 	3.58 	3.79 	3.92 	3.85 	3.68 	3.95 	4.15 	: 
A,PC,INV_HH,SK	4.00 	4.18 	3.76 	3.60 	4.07 	4.08 	4.23 	4.24 	4.50 	4.72 	5.19 	4.38 
A,PC,INV_HH,TR	7.32 p	8.41 p	8.61 p	8.42 p	8.11 p	8.76 p	8.29 p	6.72 p	6.60 p	6.35 p	6.52 p	: 
A,PC,INV_HH,UK	3.52 	3.73 	4.01 	4.17 	4.32 	4.63 	4.56 	4.66 	: 	: 	: 	: 
A,PC,INV_TOT,AL	: 	26.08 	24.16 	24.41 	24.37 	24.58 	: 	: 	: 	: 	: 	: 
A,PC,INV_TOT,AT	22.65 	23.04 	22.66 	22.70 	23.10 	23.63 	24.10 	24.91 	24.98 	25.83 	25.30 	: 
A,PC,INV_TOT,BE	22.96 	22.17 	22.81 	22.96 	23.28 	23.28 	23.62 	24.28 	24.08 	23.92 	23.90 	: 
A,PC,INV_TOT,BG	21.26 	21.21 	21.08 	21.01 	18.57 	18.52 	: 	: 	: 	: 	: 	: 
A,PC,INV_TOT,CH	26.27 	26.23 	26.42 	26.41 	26.50 	27.15 	26.60 	26.62 	26.99 	26.34 	26.25 	: 
A,PC,INV_TOT,CY	15.46 	14.08 	13.30 	12.83 	18.03 	20.79 	18.78 	18.95 	21.13 	19.46 	20.37 	: 
A,PC,INV_TOT,CZ	25.38 	24.78 	24.74 	25.68 	24.31 	23.73 	24.85 	25.77 	25.54 	26.24 	27.69 	27.30 
A,PC,INV_TOT,DE	20.32 	19.90 	20.04 	20.02 	20.30 	20.41 	21.07 	21.32 	21.54 	21.30 	22.09 	21.91 
A,PC,INV_TOT,DK	18.80 	18.81 	19.33 	19.80 	20.98 	21.23 	21.76 	21.35 	22.18 	22.52 	22.81 	22.57 
A,PC,INV_TOT,EA20	20.25 	19.61 	19.53 	19.95 	20.25 	20.57 	20.95 	22.14 	22.09 	21.91 	22.36 	22.03 
A,PC,INV_TOT,EE	28.71 	27.90 	25.74 	24.49 	24.43 	25.92 	27.09 	27.11 	29.80 	29.16 	27.52 	: 
A,PC,INV_TOT,EL	11.53 	11.20 	10.83 	10.77 	11.01 	11.79 	11.15 	10.69 	12.08 	13.31 	13.69 	: 
A,PC,INV_TOT,ES	18.53 	17.36 	17.77 	18.01 	17.95 	18.66 	19.44 	20.03 	20.42 	20.10 	20.08 	: 
A,PC,INV_TOT,EU27_2020	20.50 	19.90 	19.95 	20.38 	20.56 	20.85 	21.27 	22.32 	22.31 	22.15 	22.57 	22.33 
A,PC,INV_TOT,FI	23.08 	22.01 	21.47 	21.23 	22.74 	23.35 	24.08 	23.83 	24.04 	23.62 	24.15 	22.49 
A,PC,INV_TOT,FR	22.46 	22.04 	21.82 	21.50 	21.82 	22.50 	22.89 	23.48 	23.27 	24.47 	25.20 	: 
A,PC,INV_TOT,HR	19.27 	19.34 	18.96 	19.23 	19.71 	19.61 	20.01 	21.24 	22.18 	21.05 	19.63 	: 
A,PC,INV_TOT,HU	19.15 	20.80 	22.01 	22.17 	19.49 	22.15 	24.73 	27.00 	26.52 	27.24 	27.89 	: 
A,PC,INV_TOT,IE	19.62 	18.62 	20.59 	24.05 	35.89 	33.04 	28.40 	54.27 	42.08 	22.33 	21.63 	: 
A,PC,INV_TOT,IS	16.00 	15.70 	17.24 	18.97 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,INV_TOT,IT	18.31 	17.20 	16.72 	16.94 	17.17 	17.48 	17.85 	17.99 	17.97 	20.41 	21.66 	21.17 
A,PC,INV_TOT,LT	17.32 	18.42 	18.87 	19.61 	19.86 	20.11 	20.94 	21.50 	21.38 	21.71 	21.41 	: 
